city,province,country,total_pop,urban_pop,rural_pop,total_male,total_female,total_trans
Tharparkar,Sindh,Pakistan,"1,649,661","132,071","1,517,590","882,365","767,266",30
Thatta,Sindh,Pakistan,"979,817","176,058","803,759","510,279","469,504",34
Toba Tek Singh,Punjab,Pakistan,"2,190,015","441,930","1,748,085","1,100,048","1,089,829",138
Tor Ghar,Khyber Pakhtunkhwa,Pakistan,"171,395",0,"171,395","86,157","85,230",8
Umerkot,Sindh,Pakistan,"1,073,146","243,361","829,785","557,557","515,569",20
Upper Dir,Khyber Pakhtunkhwa,Pakistan,"946,421","44,165","902,256","466,173","480,247",1
Vehari,Punjab,Pakistan,"2,897,446","505,703","2,391,743","1,462,027","1,435,212",207
Washuk,Balochistan,Pakistan,"176,206","21,872","154,334","92,031","84,175",0
Zhob,Balochistan,Pakistan,"310,544","46,248","264,296","168,358","142,186",0
Ziarat,Balochistan,Pakistan,"160,422","3,406","157,016","82,302","78,117",3
